num graphs,serial time,parallel time
50,0.2704610824584961,0.13787055015563965
100,0.5646352767944336,0.21875619888305664
150,0.820758581161499,0.4014265537261963
200,1.0790390968322754,0.6086869239807129
250,1.3484904766082764,0.7163803577423096
300,1.6265640258789062,0.4096348285675049
350,1.9141879081726074,0.43708276748657227
400,2.1888744831085205,0.5308425426483154
450,2.409517526626587,0.5825667381286621
500,2.7255752086639404,0.6444017887115479
550,2.961458444595337,0.674452543258667
600,3.2132508754730225,0.7447431087493896
650,3.538785219192505,0.7707500457763672
700,3.7653050422668457,0.8524925708770752
750,4.005996227264404,1.1105842590332031
800,4.251096725463867,1.1620876789093018
850,4.5601487159729,1.329512119293213
900,4.776275634765625,1.0322885513305664
950,5.099452972412109,1.0939819812774658
1000,5.171290397644043,1.1450042724609375
